hotelcode,hotelname,regional_head,contractmanager,city,Booking_Month,Booking_Date,bookings,RNs,RNsAAlogic,RNsAAlogicwithmax,RNsAAlogicwithroom1,GMV,PTHwithTAX,bookingvendor_id
1000045364,KSTDC Hotel Mayura Riverview Srirangapatna,ajay.madhusudan,ingo_supply_manager@go-mmt.com,Mandya,6,2022-06-09,2,3,52.0,52,52,9990.400000000001,8652.4,24
1000015674,Hotel Bluemoon,sourav.dutta,sahil.chawla2@go-mmt.com,Guwahati,6,2022-06-19,3,4,120.0,120,120,4796.0,3836.8050847457625,24
1000003294,Brunton Boatyard - CGH Earth,vikram.challur,Rohith.Thampi@go-mmt.com,Cochin,6,2022-06-01,1,2,52.0,52,52,33961.58,28781.003728813557,24
1000016560,Suba Elite,vikram.challur,parth.desai_mmt7586,Vadodara,6,2022-06-22,2,3,150.0,150,150,7741.4400000000005,6566.406101694915,24
1000016560,Suba Elite,vikram.challur,parth.desai_mmt7586,Vadodara,7,2022-07-12,2,5,250.0,250,250,16289.28,13816.796949152544,24
1000299404,Juvana Resort & Spa at Aamby Valley,vikram.challur,parth.desai_mmt7586,Lonavala,6,2022-06-10,1,1,0.0,1,1,9248.84,8856.941694915255,14
1000000379,Country Inn - Bhimtal,vikas.sharma,ankur.chamoli,Bhimtal,6,2022-06-21,2,5,180.0,180,180,30947.84,25421.441694915255,24
1000058228,"MPT Tapti Retreat, Burhanpur",vikram.challur,faraz.shaikh,Burhanpur,6,2022-06-10,1,1,11.0,11,11,2005.92,1737.2674576271188,24
1000041286,Grand Kakinada by GRT Hotels,vikram.challur,Ponnuvelraj.C@go-mmt.com,Kakinada,6,2022-06-02,2,9,510.0,510,510,50872.5,43299.0,24
1000015280,Hotel Prince,sourav.dutta,sahil.chawla2@go-mmt.com,Guwahati,6,2022-06-13,1,1,60.0,60,60,600.0,510.0,24
1000251275,"Tree of Life Junoon In The Hills, Kumaon",vikas.sharma,ankur.chamoli,Nainital,7,2022-07-09,1,1,0.0,1,1,4284.0,3595.5,24
1000182844,The Tamara Kodai,vikram.challur,Vaibhav.Gupta2@go-mmt.com,Kodaikanal,6,2022-06-03,3,7,0.0,7,6,138414.0,118140.20338983051,24
1000016092,Heritage Resort Hampi,vikram.challur,Gururaj.chandu@go-mmt.com,Hampi,6,2022-06-14,1,2,80.0,80,80,19821.64,16462.038305084745,24
1000001304,Kenilworth Resort & Spa,vikas.sharma,anamika.verma,Goa,6,2022-06-26,5,22,1560.0,1560,1560,268745.27,229904.52423728816,24
1000010637,7 Apple Hotel Pimpri Pune,tahir.khatri,ingo_supply_manager@go-mmt.com,Pune,6,2022-06-05,4,4,256.0,256,256,12927.599999999999,10849.938983050848,24
1000165436,Octave Plaza Hotel,vikram.challur,ankit.anish@go-mmt.com,Bengaluru,6,2022-06-01,5,9,0.0,9,7,11631.199999999999,9761.911864406778,14
1000201800,SHAHPURA KUMBHAL VILLAS,vikas.sharma,divya.francis,Kumbhalgarh,6,2022-06-05,2,2,0.0,2,2,7620.48,5919.48,24
1000013857,The Classic Hotel,sourav.dutta,sahil.chawla2@go-mmt.com,Imphal,6,2022-06-15,2,3,165.0,165,165,13336.4,11192.662711864408,14
1000059512,"MPT Surbahar, Maihar",vikram.challur,faraz.shaikh,Maihar,6,2022-06-15,1,1,52.0,52,52,2788.8,2415.3,24
1000350637,MTDC Ganpatipule,tahir.khatri,shino.baby@go-mmt.com,Ganpatipule,7,2022-07-13,1,2,0.0,2,2,14560.0,12610.0,24
1000059512,"MPT Surbahar, Maihar",vikram.challur,faraz.shaikh,Maihar,7,2022-07-04,1,1,52.0,52,52,2788.8,2415.3,14
1000041286,Grand Kakinada by GRT Hotels,vikram.challur,Ponnuvelraj.C@go-mmt.com,Kakinada,7,2022-07-11,2,4,340.0,340,340,19600.0,16630.0,24
1000027150,Larisa Resort,vikas.sharma,vishal.sharma@go-mmt.com,Manali,6,2022-06-21,1,3,66.0,66,66,44347.2,36830.71694915254,24
1000150924,Cygnett Park Di- Arch,vikas.sharma,ravindra.shekhawat,Lucknow,6,2022-06-05,2,3,180.0,180,180,13328.0,11186.0,24
1000339899,Octave Brookefield Suites,vikram.challur,ankit.anish@go-mmt.com,Bengaluru,6,2022-06-22,3,3,0.0,3,3,10724.0,9000.5,14
1000052280,Octave Kanthi Comforts,vikram.challur,ankit.anish@go-mmt.com,Bengaluru,7,2022-07-11,2,2,88.0,88,88,2948.3999999999996,2474.5525423728814,24
1000229576,Yashshree Mall Road Darjeeling,sourav.dutta,sahil.chawla2@go-mmt.com,Darjeeling,7,2022-07-11,1,3,0.0,3,3,8981.28,7377.483389830509,14
1000114411,Octave Paris Residency,vikram.challur,ankit.anish@go-mmt.com,Bengaluru,6,2022-06-14,1,1,,1,1,1680.0,1380.0,14
1000122977,Central Courtyard Boutique Resort,vikas.sharma,sahil.chawla2@go-mmt.com,Siliguri,6,2022-06-10,2,2,54.0,54,54,7198.0,5912.635593220339,24
1000379566,7 Apple Hotel Mahape,tahir.khatri,ingo_supply_manager@go-mmt.com,Navi Mumbai,7,2022-07-13,1,1,0.0,1,1,3719.52,3055.3166101694915,24
1000319633,Aaroham Resort By Aamod at Dharamshala,vikas.sharma,vishal.sharma@go-mmt.com,Mcleodganj,6,2022-06-08,1,2,0.0,2,1,9945.6,8169.6,24
1000008949,Jaypee Residency Manor,vikas.sharma,ankur.chamoli,Mussoorie,6,2022-06-22,5,6,810.0,810,810,151921.58,132609.51220338984,24
1000015932,Summit Lillium Hotel & Spa,vikas.sharma,sahil.chawla2@go-mmt.com,Kalimpong,7,2022-07-10,2,3,66.0,66,66,6680.75,5487.75,24
